Orthogroup,GeneID,DRR318288,DRR318289,DRR318291,DRR318293,DRR318294,DRR318295,DRR318297,DRR318298,DRR318299
OG0008806,aten_0.1.m1.4324,5.428741335769283,5.406984865064841,5.4091397422108365,5.190982582545066,5.224072482800913,5.15962260701714,6.033038400260154,5.547940247506737,5.702620132847535
OG0008807,aten_0.1.m1.14896,4.2251032234348145,3.822500061525207,4.163109140059795,3.985891620063945,3.831171412337163,3.8698288045896447,5.0238213478583615,5.205174952042399,4.979782164614203
OG0008808,aten_0.1.m1.28323,6.073548038113224,5.585177774935118,6.412984909842781,5.203134334556447,5.794162724771746,5.706789020536137,5.378758061370695,4.949649859283814,4.615056183407784
OG0008809,aten_0.1.m1.10433,6.145119444569589,6.2719754091215405,6.4300490445870615,6.154812587323128,6.165813373986209,6.189582793481914,6.266930112862516,6.218987568221531,6.270909248052911
OG0008810,aten_0.1.m1.30527,3.919495945654563,4.030688573690236,3.7050968923463055,3.524541873093865,3.4610775831827687,3.2251282623986306,2.529641763776657,2.3416251121131104,2.420098252861816
OG0008811,aten_0.1.m1.8653,6.097361800606152,5.865770342320932,5.883654288844075,5.564120434656818,5.53550677940548,5.268629309315188,5.745071720159158,5.93528036425501,5.751245958337205
OG0008812,aten_0.1.m1.10896,8.473170390784102,8.360982467172928,8.503250047028834,7.871599379155373,8.180064657380882,8.118538306287448,7.996728546705512,8.095595961961635,7.926354238240961
OG0008813,aten_0.1.m1.10088,1.4439742324292877,0.5666286010937079,0.8084072855679447,2.249650589300914,1.826973698203127,2.8981532395842486,1.320322606527768,2.228466332051325,1.1395951106532525
OG0008814,aten_0.1.m1.5635,7.842544518754407,7.394750373581339,8.071397890394557,8.014567170769473,8.288131830564078,8.17239668390356,7.05947304307474,7.271507262207346,6.769899768934233
OG0008815,aten_0.1.m1.17354,5.82063587312299,5.503178886541433,5.658749001644412,5.095762239797812,4.621405926029847,4.897483800034158,5.978757375535367,6.123457878690907,5.3126318658636444
OG0008816,aten_0.1.m1.3347,4.54101995986053,4.47625531310532,5.041005596680821,2.220684112240314,2.7582896126822964,2.098140849342637,3.913603577996666,4.13216624388371,3.833343448258387
OG0008818,aten_0.1.m1.22872,4.364144357533182,4.9426465263577946,4.176925921650677,3.572215035848922,3.727702971271776,3.2883375397419607,4.020999001799498,3.522035014344902,3.5736581159889145
OG0008819,aten_0.1.m1.30042,5.586072109875373,5.428901299885069,5.096105310715418,4.878094888082475,4.973440310626534,4.841393667318257,4.5604604691325425,4.54279664078798,4.283559341059268
OG0008820,aten_0.1.m1.22130,3.2332894273798916,3.5266228089214535,3.707205819011139,3.830595359514264,3.920875703452048,3.3382576105132813,4.656817705297743,5.480361898125759,5.043783534804401
OG0008821,aten_0.1.m1.31102,2.837940891761112,3.2604798974247027,3.4753193074853734,2.603630248224151,2.613458396851373,2.7746194970683664,2.192884716153677,1.6182318949883927,1.708514201751757
