gene_id,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
Montipora_capitata_HIv3___RNAseq.g31069.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g40074.t1,58,115,136,156,119,124,132,141,284
Montipora_capitata_HIv3___RNAseq.g50559.t1b,10,3,6,4,8,6,2,2,9
Montipora_capitata_HIv3___TS.g18559.t2,4256,4723,4906,5172,4574,4955,1759,2593,4425
Montipora_capitata_HIv3___TS.g45824.t1a,114,85,85,59,123,101,33,61,62
Montipora_capitata_HIv3___TS.g45824.t1b,345,420,409,412,272,312,149,182,355
Montipora_capitata_HIv3___RNAseq.g46016.t1,37,49,66,55,59,43,33,36,48
Montipora_capitata_HIv3___RNAseq.g12353.t1,6,6,10,15,13,11,0,0,10
Montipora_capitata_HIv3___TS.g15034.t1,108,129,137,53,132,143,38,97,147
Montipora_capitata_HIv3___TS.g4616.t1,0,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___TS.g17412.t1,10,28,44,24,12,18,135,142,67
Montipora_capitata_HIv3___RNAseq.g21217.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g32549.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g34497.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g274.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35668.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35625.t1,650,825,816,600,549,614,271,289,309
Montipora_capitata_HIv3___RNAseq.g21546.t1,0,0,0,0,0,2,0,0,0
Montipora_capitata_HIv3___TS.g46596.t1,5,10,11,0,0,12,0,3,0
Montipora_capitata_HIv3___RNAseq.g47083.t1,1505,1841,1798,1688,1437,1583,621,1031,1565
Montipora_capitata_HIv3___RNAseq.g23651.t1,0,0,0,0,0,0,5,1,5
Montipora_capitata_HIv3___RNAseq.g43364.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8773.t1,687,881,846,614,560,731,373,431,587
Montipora_capitata_HIv3___TS.g47900.t1,593,636,745,696,694,731,89,131,133
Montipora_capitata_HIv3___RNAseq.g33246.t1,0,0,0,0,0,0,0,0,5
Montipora_capitata_HIv3___TS.g3920.t1,0,0,2,2,0,2,2,2,2
